No.,Risk category,Risk factor,Phase,,,Source,,,,,Case จากรายงาน สนข,,
,,,,,,Global,,,,"SEPO
Thailand",,,
,,,pre-construction,construction,operation,GI hub," Yongjian Ke et al.
China","Sy Tien Do
Vietnam","Nur Alkaf Abd Karim
Malaysia",,BTS Green line,MRT Blue line,MRT Purple line
1," Land availability, access & site",Provision of required land - general,ü,,,l,l,l,l,,,,
,,Timing of provision of required land,ü,ü,,l,,l,,l,,,
,,Provision of permanent additional land,ü,ü,,l,,l,,l,,,
,,Provision of temporary additional land,ü,ü,,l,,l,,l,,,
,,Heritage / indigenous land rights,ü,ü,,l,l,,,l,,,
,,Resettlement,ü,ü,,l,,,l,,,,
,,Suitability of land,ü,,,l,,,,,,,
,,Key planning consents,ü,,,l,,,,,,,
,,Subsequent planning approvals,,ü,,l,l,,,,,,
,,Access to the site and associated infrastructure,,ü,ü,l,l,l,l,l,,,
,,Site security,,ü,ü,l,,,,l,,,
,,Utilities and installations,ü,ü,ü,l,,l,,,,,
,,Site condition,ü,ü,,l,l,,l,l,,,
,,Existing asset condition,ü,ü,ü,l,,,,,,,
,,Protection of geological and historical objects,,ü,ü,,l,,,l,,,
,,…,,,,,,,,,,,
2,Social Risk,Community and businesses,ü,ü,ü,l,,,,l,,,
,,Resettlement,ü,ü,,l,,l,,l,,,
,,Heritage / indigenous people,ü,ü,ü,l,,l,,l,,,
,,Industrial action,,ü,ü,l,,,,l,l,,
,,…,,,,,,,,,,,
3,Environmental Risk,Pre-existing conditions,ü,ü,ü,l,,,,,,,
,,Obtaining environmental consents,ü,,,l,,l,,,,,
,,Compliance with environmental consents and laws,ü,ü,ü,l,,l,,,,,
,,Environmental conditions caused by the project,,ü,ü,l,,l,,l,,,
,,External environmental events,,ü,ü,l,,,,l,,,
,,Climate change event,ü,ü,ü,l,,,l,,,,
,,Weather,,ü,ü,,l,,l,,,,
,,…,,,,,,,,,,,
4,Design Risk ,Suitability of design,ü,,,l,l,,l,l,,,l
,,Approval of designs,ü,ü,,l,l,,,l,,,
,,Changes to design,,ü,,l,l,,l,l,,,
,,Change of scope,,ü,ü,,,l,l,,,,
,,…,,,,,,,,,,,
5,Construction Risk ,Cost increases,ü,ü,,l,l,,l,l,,,
,,Works completion delays,,ü,,l,l,l,l,l,,,
,,Project management and interface with other works/facilities,,ü,,l,l,,,,,,
,,Quality assurance and other construction regulatory standards,,ü,,l,,,,,,,
,,Health and safety compliance,,ü,,l,l,,,l,,,
,,"Liability for death, personal injury, property damage and third party liability",,ü,,l,,,,,,,
,,Defects and defective materials,,ü,,l,,,,l,,,
,,Intellectual property,,ü,,l,,,,,,,
,,Industrial action,,ü,,l,,,,l,,,
,,Vandalism,,ü,,l,,,,,,,
,,Quality risk,,ü,,,l,,l,l,,,
,,Availability of labor/materials,,ü,,,l,,l,,,,
,,Waste of materials,,ü,,,l,,l,,,,
,,Unproven engineering techniques,,ü,,,l,,l,,,,
,,Contractor failure/Capability of SPV,,ü,,,,,l,,,,
,,Insolvency/default of subcontractors and supplied,,ü,,,,,l,,,,
,,Poor quality of workmanship,,ü,,,,,l,,,,
,,Consortium inability,,ü,,,,,l,,,,
,,…,,,,,,,,,,,
6,Variations Risk,Variations Risk,,ü,ü,l,,,,,,,
,,…,,,,,,,,,,,
7,Operating Risk,Increased operating costs and affected performance,,,ü,l,l,,l,l,,,
,,Performance/ price risk,,,ü,l,l,,,l,,,
,,Operational resources or input risk,,,ü,l,,,,,,,
,,Intellectual property,,,ü,l,,,,,,,
,,Health and safety compliance,,,ü,l,,,,l,,,
,,"Liability for death, personal injury, property damage and third party liability",,,ü,l,l,,,,,,
,,Maintenance standards,,,ü,l,,,,,,,
,,Interface,,,ü,l,,,,,l,l,l
,,Industrial action,,,ü,l,,,,,,,
,,Vandalism,,,ü,l,,,,,,,
,,Quality of operation,,,ü,,l,,l,l,,,
,,High maintenance cost,,,ü,,l,,l,l,,,
,,Frequency of maintenance,,,ü,,l,,,,,,
,,Residual assets risk,,,ü,,l,,l,,,,
,,Condition of facility,,,ü,,l,,,,,,
,,Low operating productivity,,,ü,,,l,l,,,,
,,Risk regarding pricing of product/service,,,ü,,,,l,l,,,
,,Delay in commencement of operations,,,ü,,,,,,,l,
,,Project operation change,,,ü,,,,l,,,,
,,…,,,,,,,,,,,
8,Demand Risk,General principles,ü,,ü,l,,,,,,,
,,Considerations,ü,,ü,l,,,,l,,,
,,Higher demand than anticipated,ü,,ü,l,,l,,l,,,
,,Lower demand than anticipated,ü,,ü,l,,l,,l,l,l,l
,,Government support measures,ü,,ü,l,,,,,l,,
,,…,,,,,,,,,,,
9,Financial Markets Risk ,Inflation,,ü,ü,l,l,l,l,l,,,
,,Exchange rate fluctuation,ü,ü,ü,l,l,l,l,l,,,
,,Interest rate fluctuation,ü,ü,ü,l,l,l,l,l,,,
,,Unavailability of insurance,ü,ü,ü,l,,,,,,,
,,Refinancing,ü,ü,ü,l,,,,,l,,
,,insufficient income,ü,,ü,,l,,,l,l,l,l
,,Tariff change,ü,,ü,,l,l,l,l,,,
,,Market forecast error,ü,,,,,,,,,l,l
,,Market demand change,,,ü,,l,,l,,,,
,,Fluctuation of material cost (by government),,ü,ü,,,,l,,,,
,,Fluctuation of material cost (by private),,ü,ü,,,,l,,,,
,,…,,,,,,,,,,,
10,Strategic/ Partnering Risk,Private Partner failure/insolvency,,ü,ü,l,,,,,,,
,,Sub-Contractor failure/insolvency,,ü,,l,l,,,l,,,
,,Change in Private Partner ownership,,,ü,l,,,,,,,
,,Permitted Contracting Authority step-in,,ü,ü,l,,,,,,,
,,Change in Contracting Authority ownership/status,,,ü,l,,,,,l,,
,,Unbalanced or inappropriate contractual terms,ü,,,,l,l,,,l,l,
,,Private Partner not to be fincially or technically capable implement the project.,,ü,ü,,l,,,,,,
,,Inadequate allocation of responsibility and risk,ü,,,,,l,,,,,
,,Public Authority Delay Risk,ü,ü,ü,,,,,,,l,
,,Disputes,,ü,ü,l,,,,l,l,,
,,…,,,,,,,,,,,
11,Disruptive Technology Risk,Disruptive Technology Risk,,,ü,l,,,l,,,,
,,…,,,,,,,,,,,
12,Force Majeure Risk,Force majeure events,,ü,ü,l,l,l,l,l,,,
,,Force majeure consequences,,ü,ü,l,,l,,l,,,
,,…,,,,,,,,,,,
13,Political Risk,Political opposition,ü,ü,ü,l,l,,l,,l,,
,,Unstable government,ü,ü,ü,l,l,,l,,,,
,,Poor public decision making process,ü,ü,ü,,l,l,l,,l,,
,,Corruption and lack of respect for law,ü,ü,ü,,,l,l,,,,
,,Political interference,ü,ü,ü,,l,l,,,l,l,l
,,Delay in approval / permit,ü,,,,l,l,,l,,,
,,…,,,,,,,,,,,
14,Law Risk,Compliance with applicable law,,ü,ü,l,l,,l,l,l,l,
,,Change in law (and taxation),ü,ü,ü,l,,l,l,l,l,l,
,,Changes in industrial code of practices,ü,ü,ü,,l,,l,l,,,
,,Inadequate law and supervision system,ü,ü,ü,,,l,,,l,,
,,Conflicting or imperfect contract,ü,,,,,l,,,,l,
,,…,,,,,,,,,,,
15,Early Termination Risk,Contractual termination provisions,ü,,,l,l,,,l,,,
,,Contracting Authority default termination,,ü,ü,l,,l,,l,,,
,,MAGA / Change in law termination,,ü,ü,l,,,,l,,,
,,Voluntary Termination by Contracting Authority,,ü,ü,l,l,,,l,,,
,,Force Majeure and Uninsurability termination,,ü,ü,l,,,,l,,,
,,Private Partner default termination,,ü,ü,l,l,l,,l,,,
,,Strength of Contracting Authority payment covenant,,ü,ü,l,,,,l,,,
,,…,,,,,,,,,,,
16,Condition At Handback Risk,Condition At Handback Risk,,,ü,l,,,,l,,,
,,Asset Ownership Risk (at the end of the contract),,,ü,,l,,l,l,,,
,,…,,,,,,,,,,,
17,Project selection,Public opposition to project,ü,,,,,,l,,,,
,,Level of demand for the project,ü,,,,,,l,,,,l
,,Poor project appraisal and selection,ü,,,,l,,,,,,l
,,Inadequate feasibility study,ü,,,,l,l,,,,,l
,,…,,,,,,,,,,,
18,Relationship,Different working methods/know-how between partners,ü,ü,ü,,,l,l,,,,
,,Inadequate experience in PPP,ü,ü,ü,,,,l,,,,
,,Lack of commitment from public/private partner,,ü,ü,,,,l,,,,
,,Organisation and coordination risk,ü,ü,ü,,l,,l,,l,,l
,,Third party tort liability,,ü,ü,,l,,l,,,,
,,Inadequate distribution of responsibility and risk,ü,,,,,,l,,,,
,,Inadequate negotiation period prior to initiation,ü,,,,,,l,,,,
,,Staff crises,,ü,ü,,,,l,,,,
,,Cultural differences between main stakeholders,ü,ü,ü,,,,l,,,,
,,Non-involvement of host-community,ü,,,,,,l,,,,
,,…,,,,,,,,,,,
19,Project finance,Financial attraction of project to investors,ü,,,,,,l,l,,,
,,High finance cost,ü,,,,,,l,,,,
,,Lack of creditworthiness,ü,,,,,,l,,,,
,,High bidding costs,ü,,,,,,l,,,,
,,Delay in financial closure,ü,,,,,,l,,,,
,,Inability to service debt,,,ü,,,,l,,l,,
,,Lack of government guarantees,ü,,,,,,l,l,,,
,,Delay in payment of anuity,,ü,ü,,,l,l,l,l,,
,,Financiers unwilling to take high risk,ü,,,,,,l,,,,
,,…,,,,,,,,,,,
20,Procurement risks,Uncompetative tender,,,,,l,,l,,l,,
,,Competition risk,,,,,,,l,,,,
,,Lack of transparency in the bidding,ü,,,,,l,,,l,l,
,,Subjective project evaluation method,ü,,,,,l,,,,l,
,,Supporting incentive of government risk,ü,,,,,l,,,,,
,,Unclear about state participant portion,ü,,,,,l,,,,,
,,Unfair process of selection of the private sector,ü,,,,,l,,,l,l,
,,Low capacity of concession company,ü,,,,,l,,,,,
…,…,...,,,,,,,,,,,
